,idx,mode_true,purpose_true,replaced_true,mode_pred,purpose_pred,replaced_pred,distance,user_id,top_pred,source,end_ts,end_fmt_time,end_loc,raw_trip,start_ts,start_fmt_time,start_loc,duration,start_place,end_place,cleaned_trip,inferred_labels,inferred_trip,expectation,confidence_threshold,expected_trip,user_input,start_local_dt_year,start_local_dt_month,start_local_dt_day,start_local_dt_hour,start_local_dt_minute,start_local_dt_second,start_local_dt_weekday,start_local_dt_timezone,end_local_dt_year,end_local_dt_month,end_local_dt_day,end_local_dt_hour,end_local_dt_minute,end_local_dt_second,end_local_dt_weekday,end_local_dt_timezone,_id,metadata_write_ts,mode_confirm,purpose_confirm,replaced_mode
0,20.0,shared_ride,work,drove_alone,pilot_ebike,work,drove_alone,3049.060058084886,2cd5668a-c905-4e2e-b2c8-8bb4ed94bc6d,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,212.0,shared_ride,entertainment,drove_alone,pilot_ebike,home,taxi,71947.66471245159,2cd5668a-c905-4e2e-b2c8-8bb4ed94bc6d,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,189.0,walk,at_work,walk,pilot_ebike,entertainment,drove_alone,2531.8669952689343,2cd5668a-c905-4e2e-b2c8-8bb4ed94bc6d,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,120.0,walk,exercise,drove_alone,walk,entertainment,drove_alone,2597.0113662924437,2cd5668a-c905-4e2e-b2c8-8bb4ed94bc6d,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,223.0,walk,meal,drove_alone,walk,entertainment,no_travel,236.28615696183283,2cd5668a-c905-4e2e-b2c8-8bb4ed94bc6d,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,113.0,walk,,,pilot_ebike,work,drove_alone,750.2856000350602,2cd5668a-c905-4e2e-b2c8-8bb4ed94bc6d,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,95.0,taxi,shopping,taxi,drove_alone,shopping,drove_alone,25936.51478695165,2cd5668a-c905-4e2e-b2c8-8bb4ed94bc6d,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,235.0,pilot_ebike,entertainment,drove_alone,pilot_ebike,entertainment,drove_alone,11042.660186101522,2cd5668a-c905-4e2e-b2c8-8bb4ed94bc6d,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,26.0,shared_ride,entertainment,shared_ride,drove_alone,shopping,drove_alone,12878.089998600251,2cd5668a-c905-4e2e-b2c8-8bb4ed94bc6d,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,4.0,pilot_ebike,work,drove_alone,drove_alone,entertainment,drove_alone,1382.9635943569763,2cd5668a-c905-4e2e-b2c8-8bb4ed94bc6d,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,144.0,pilot_ebike,access_recreation,drove_alone,walk,entertainment,drove_alone,3588.976218653459,2cd5668a-c905-4e2e-b2c8-8bb4ed94bc6d,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,56.0,walk,exercise,walk,walk,exercise,walk,5868.57107359595,2cd5668a-c905-4e2e-b2c8-8bb4ed94bc6d,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,25.0,drove_alone,shopping,drove_alone,drove_alone,shopping,drove_alone,9121.141030915678,2cd5668a-c905-4e2e-b2c8-8bb4ed94bc6d,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,222.0,walk,work,drove_alone,walk,entertainment,drove_alone,1092.6784102789977,2cd5668a-c905-4e2e-b2c8-8bb4ed94bc6d,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,224.0,walk,entertainment,walk,walk,at_work,drove_alone,27956.72209437989,2cd5668a-c905-4e2e-b2c8-8bb4ed94bc6d,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,190.0,pilot_ebike,shopping,drove_alone,pilot_ebike,entertainment,drove_alone,1960.9292108789305,2cd5668a-c905-4e2e-b2c8-8bb4ed94bc6d,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,129.0,shared_ride,,,drove_alone,shopping,drove_alone,22407.40209904432,2cd5668a-c905-4e2e-b2c8-8bb4ed94bc6d,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,5.0,pilot_ebike,work,taxi,pilot_ebike,work,walk,4324.030471849708,2cd5668a-c905-4e2e-b2c8-8bb4ed94bc6d,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,236.0,pilot_ebike,entertainment,drove_alone,pilot_ebike,entertainment,drove_alone,11042.660186101522,2cd5668a-c905-4e2e-b2c8-8bb4ed94bc6d,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,82.0,walk,exercise,walk,walk,exercise,walk,1980.5891719280346,2cd5668a-c905-4e2e-b2c8-8bb4ed94bc6d,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,211.0,shared_ride,entertainment,drove_alone,pilot_ebike,entertainment,drove_alone,3722.9377544788254,2cd5668a-c905-4e2e-b2c8-8bb4ed94bc6d,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,41.0,pilot_ebike,shopping,drove_alone,pilot_ebike,work,drove_alone,1781.519916190684,2cd5668a-c905-4e2e-b2c8-8bb4ed94bc6d,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,3.0,pilot_ebike,shopping,shared_ride,walk,work,drove_alone,4763.907436566982,2cd5668a-c905-4e2e-b2c8-8bb4ed94bc6d,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,232.0,pilot_ebike,work,drove_alone,not_a_trip,at_work,no_travel,18392.137142749747,2cd5668a-c905-4e2e-b2c8-8bb4ed94bc6d,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,13.0,walk,shopping,shared_ride,pilot_ebike,work,walk,461.09730790202167,2cd5668a-c905-4e2e-b2c8-8bb4ed94bc6d,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,283.0,pilot_ebike,work,drove_alone,pilot_ebike,work,drove_alone,2999.2601451457886,509b9093-9093-4e98-8eb1-20b58ed9bd8c,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,175.0,pilot_ebike,home,shared_ride,pilot_ebike,home,drove_alone,5559.756207456844,509b9093-9093-4e98-8eb1-20b58ed9bd8c,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,156.0,pilot_ebike,home,drove_alone,pilot_ebike,home,drove_alone,4479.657765498675,509b9093-9093-4e98-8eb1-20b58ed9bd8c,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,265.0,shared_ride,home,no_travel,shared_ride,home,no_travel,37503.15920634195,509b9093-9093-4e98-8eb1-20b58ed9bd8c,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,313.0,pilot_ebike,home,drove_alone,pilot_ebike,home,drove_alone,4418.959754310963,509b9093-9093-4e98-8eb1-20b58ed9bd8c,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,312.0,not_a_trip,not_a trip,not_a trip,shared_ride,entertainment,no_travel,1800.4100482058925,509b9093-9093-4e98-8eb1-20b58ed9bd8c,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,299.0,pilot_ebike,home,drove_alone,pilot_ebike,home,drove_alone,3137.877860911701,509b9093-9093-4e98-8eb1-20b58ed9bd8c,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,26.0,pilot_ebike,home,drove_alone,pilot_ebike,home,drove_alone,4933.910694054246,509b9093-9093-4e98-8eb1-20b58ed9bd8c,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,0.0,pilot_ebike,home,drove_alone,pilot_ebike,home,drove_alone,2448.836798687414,509b9093-9093-4e98-8eb1-20b58ed9bd8c,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,206.0,shared_ride,exercise,no_travel,shared_ride,home,no_travel,12817.818155042105,509b9093-9093-4e98-8eb1-20b58ed9bd8c,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,223.0,pilot_ebike,work,drove_alone,pilot_ebike,work,drove_alone,1113.8585316768997,509b9093-9093-4e98-8eb1-20b58ed9bd8c,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,320.0,pilot_ebike,pick_drop_item,drove_alone,pilot_ebike,pick_drop_item,drove_alone,11666.937793535148,509b9093-9093-4e98-8eb1-20b58ed9bd8c,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,204.0,pilot_ebike,work,drove_alone,pilot_ebike,home,drove_alone,3504.823966372745,509b9093-9093-4e98-8eb1-20b58ed9bd8c,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,275.0,shared_ride,entertainment,no_travel,shared_ride,meal,no_travel,6290.619197940544,509b9093-9093-4e98-8eb1-20b58ed9bd8c,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,104.0,shared_ride,shopping,no_travel,drove_alone,entertainment,no_travel,26892.059636698035,509b9093-9093-4e98-8eb1-20b58ed9bd8c,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,263.0,shared_ride,exercise,walk,shared_ride,exercise,walk,456.71322504643,509b9093-9093-4e98-8eb1-20b58ed9bd8c,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,81.0,shared_ride,home,drove_alone,shared_ride,home,drove_alone,3555.8098171534843,509b9093-9093-4e98-8eb1-20b58ed9bd8c,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,103.0,pilot_ebike,home,drove_alone,pilot_ebike,home,drove_alone,3289.48959498879,509b9093-9093-4e98-8eb1-20b58ed9bd8c,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,172.0,not_a_trip,not_a trip,not_a trip,pilot_ebike,home,drove_alone,1508.6906017937142,509b9093-9093-4e98-8eb1-20b58ed9bd8c,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,124.0,pilot_ebike,work,drove_alone,pilot_ebike,home,drove_alone,3087.212357114904,509b9093-9093-4e98-8eb1-20b58ed9bd8c,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,61.0,shared_ride,entertainment,walk,pilot_ebike,home,drove_alone,1339.1775618220313,509b9093-9093-4e98-8eb1-20b58ed9bd8c,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,322.0,drove_alone,work,no_travel,pilot_ebike,work,drove_alone,2978.3084798075774,509b9093-9093-4e98-8eb1-20b58ed9bd8c,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,183.0,pilot_ebike,home,no_travel,pilot_ebike,home,drove_alone,3277.9865695769736,509b9093-9093-4e98-8eb1-20b58ed9bd8c,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,166.0,not_a_trip,not_a trip,not_a trip,pilot_ebike,home,drove_alone,1559.1744976746768,509b9093-9093-4e98-8eb1-20b58ed9bd8c,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,276.0,shared_ride,home,no_travel,shared_ride,transit_transfer,no_travel,7866.215842500797,509b9093-9093-4e98-8eb1-20b58ed9bd8c,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,165.0,pilot_ebike,home,drove_alone,pilot_ebike,home,drove_alone,10552.632845431843,509b9093-9093-4e98-8eb1-20b58ed9bd8c,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
